Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
20/08/2025,A,4,13,0,89,89,1157,1,1
20/08/2025,B,4,13,0,0,0,0,1,1
20/08/2025,C,4,13,0,53,53,689,1,1
20/08/2025,Total,12,39,0,142,142,1846,3,3
21/08/2025,A,4,13,0,87,87,1131,1,1
21/08/2025,B,4,13,0,14,14,182,1,1
21/08/2025,C,4,13,0,10,10,130,1,1
21/08/2025,Total,12,39,0,111,111,1443,3,3
26/08/2025,A,4,13,0,78,78,1014,1,1
26/08/2025,B,4,13,0,20,20,260,1,1
26/08/2025,C,4,13,1,0,1,19,1,1
26/08/2025,Total,12,39,1,98,99,1293,3,3
27/08/2025,A,4,13,11,54,65,911,1,1
27/08/2025,B,4,13,5,69,74,992,1,1
27/08/2025,C,4,13,1,82,83,1085,1,1
27/08/2025,Total,12,39,17,205,222,2988,3,3
28/08/2025,A,4,13,2,83,85,1117,1,1
28/08/2025,B,4,13,13,20,33,507,1,1
28/08/2025,C,4,13,19,0,19,361,1,1
28/08/2025,Total,12,39,34,103,137,1985,3,3
29/08/2025,A,4,13,8,60,68,932,1,1
29/08/2025,B,4,13,0,156,156,2028,1,1
29/08/2025,C,4,13,0,87,87,1131,1,1
29/08/2025,Total,12,39,8,303,311,4091,3,3
30/08/2025,A,4,13,0,57,57,741,1,1
30/08/2025,B,4,13,22,40,62,938,1,1
30/08/2025,C,4,13,0,19,19,247,1,1
30/08/2025,Total,12,39,22,116,138,1926,3,3
31/08/2025,A,4,13,4,76,80,1064,1,1
31/08/2025,B,4,13,0,63,63,819,1,1
31/08/2025,C,4,13,0,104,104,1352,1,1
31/08/2025,Total,12,39,4,243,247,3235,3,3
01/09/2025,A,4,13,0,24,24,312,1,1
01/09/2025,B,4,13,0,11,11,143,1,1
01/09/2025,C,4,13,0,0,0,0,1,1
01/09/2025,Total,12,39,0,35,35,455,3,3
02/09/2025,A,4,13,0,55,55,715,1,1
02/09/2025,B,4,13,0,24,24,312,1,1
02/09/2025,C,4,13,0,0,0,0,1,1
02/09/2025,Total,12,39,0,79,79,1027,3,3
03/09/2025,A,4,13,0,48,48,624,1,1
03/09/2025,B,4,13,0,23,23,299,1,1
03/09/2025,C,4,13,0,0,0,0,1,1
03/09/2025,Total,12,39,0,71,71,923,3,3
05/09/2025,A,4,13,0,37,37,481,1,1
05/09/2025,B,4,13,0,65,65,845,1,1
05/09/2025,C,4,13,0,55,55,715,1,1
05/09/2025,Total,12,39,0,157,157,2041,3,3
06/09/2025,A,4,13,0,52,52,676,1,1
06/09/2025,B,4,13,0,0,0,0,1,1
06/09/2025,C,4,13,0,0,0,0,1,1
06/09/2025,Total,12,39,0,52,52,676,3,3
